pr_id,pr_url,issue_id,issue_url,non_test_code_changes,agent_result,agent_comment
516,https://github.com/simstudioai/sim/pull/516,451,https://github.com/simstudioai/sim/issues/451,1116,Bad PR,"The issue is vague and encompasses multiple requests (pulling SOTA models, simplifying UI dropdown names, and allowing custom models), which does not focus on a single well-defined problem. Additionally, it does not provide enough context or details for a developer to start working on a specific solution."
349,https://github.com/simstudioai/sim/pull/349,346,https://github.com/simstudioai/sim/issues/346,605,Bad PR,"The issue describes a specific bug related to escaping quotation marks, which provides some actionable context. However, the last part of the description suggests offering suggestions for use cases, which indicates a more vague request rather than a clear, focused issue. Additionally, the expected behavior is not clearly defined, making it harder for someone to act on the issue without further clarification."
268,https://github.com/simstudioai/sim/pull/268,260,https://github.com/simstudioai/sim/issues/260,1412,Good PR,"The issue provides a clear and actionable description of a bug, including steps to reproduce it and expected behavior. It focuses on a single, well-defined problem regarding the accessibility of custom tools for an agent. There is no request for a revert, question, or vague help, and the content is primarily in English."
264,https://github.com/simstudioai/sim/pull/264,262,https://github.com/simstudioai/sim/issues/262,482,Bad PR,"The issue body contains a lot of images but lacks a clear and actionable problem statement or feature description. It does not specify what needs to be fixed or implemented, making it difficult for a developer to act on it. Furthermore, the text is not primarily in English, which undermines clarity. Overall, it does not meet the criteria for a 'Good PR'."
255,https://github.com/simstudioai/sim/pull/255,245,https://github.com/simstudioai/sim/issues/245,775,Good PR,"The issue describes a specific and actionable problem regarding variable resolution in the API. It clearly outlines expected behavior, which provides enough context for a developer to start working on a solution. It is not a revert, question, or vague request, and it focuses on a single well-defined issue. The content appears to be primarily in English."
215,https://github.com/simstudioai/sim/pull/215,44,https://github.com/simstudioai/sim/issues/44,1001,Bad PR,"The issue title does not provide enough context or details about the problem. It is vague and lacks clear, actionable information for a developer to understand how to address it. There is also no indication of a single well-defined feature request, as it merely states a condition without elaboration on the specific behavior or steps involved."
214,https://github.com/simstudioai/sim/pull/214,102,https://github.com/simstudioai/sim/issues/102,579,Good PR,"The issue describes a specific and actionable feature request to integrate Airtable, detailing the operations required (Read, Write, Update) and including UI and authentication considerations. It is not a revert, vague, or a simple question, and it focuses on a single feature, aligning well with the criteria for a 'Good PR'. The content is primarily in English."
207,https://github.com/simstudioai/sim/pull/207,106,https://github.com/simstudioai/sim/issues/106,703,Good PR,"The issue clearly describes a specific problem regarding user access to Typeform submission data and provides an actionable solution with detailed steps on what needs to be implemented. It is not a revert, question, or vague request, and focuses on a single well-defined feature request. The content is primarily in English."
192,https://github.com/simstudioai/sim/pull/192,189,https://github.com/simstudioai/sim/issues/189,156,Good PR,"The issue provides a clear and actionable feature request related to modifying the API key issuance from per-workflow to per-user. It specifies the current problem, describes the desired solution, and focuses on a single improvement without reverting or posing a question."
190,https://github.com/simstudioai/sim/pull/190,155,https://github.com/simstudioai/sim/issues/155,320,Good PR,"The issue describes a specific and actionable problem related to increasing code coverage for the executor tests, providing enough context to begin work. It does not request a revert, is not vague or a question, focuses on a single defined problem, and is primarily written in English."
135,https://github.com/simstudioai/sim/pull/135,117,https://github.com/simstudioai/sim/issues/117,1179,Good PR,"The issue is clear and actionable, providing a specific request for the implementation of a cost tracking feature with detailed steps on how to achieve it. It does not revert previous changes, is not vague or a question, and focuses on a single well-defined problem. Most of the content is written in English."
