pr_id,pr_url,issue_id,issue_url,non_test_code_changes,agent_result,agent_comment
15016,https://github.com/infinispan/infinispan/pull/15016,14564,https://github.com/infinispan/infinispan/issues/14564,55,Good PR,"The issue clearly describes a reproducible bug with specific queries and error messages. It provides actionable details without being a revert or a vague question, making it suitable for further development work."
14602,https://github.com/infinispan/infinispan/pull/14602,14564,https://github.com/infinispan/infinispan/issues/14564,55,Good PR,"The issue provides a clear and specific reproducible problem with detailed examples. This makes it actionable, and it does not request a simple revert or vague changes."
14996,https://github.com/infinispan/infinispan/pull/14996,14965,https://github.com/infinispan/infinispan/issues/14965,28,Not Checked,
15032,https://github.com/infinispan/infinispan/pull/15032,13773,https://github.com/infinispan/infinispan/issues/13773,122,Not Checked,
14968,https://github.com/infinispan/infinispan/pull/14968,14924,https://github.com/infinispan/infinispan/issues/14924,164,Not Checked,
14859,https://github.com/infinispan/infinispan/pull/14859,14858,https://github.com/infinispan/infinispan/issues/14858,109,Not Checked,
14973,https://github.com/infinispan/infinispan/pull/14973,13773,https://github.com/infinispan/infinispan/issues/13773,122,Not Checked,
14967,https://github.com/infinispan/infinispan/pull/14967,14924,https://github.com/infinispan/infinispan/issues/14924,164,Not Checked,
14771,https://github.com/infinispan/infinispan/pull/14771,14770,https://github.com/infinispan/infinispan/issues/14770,988,Not Checked,
14925,https://github.com/infinispan/infinispan/pull/14925,14924,https://github.com/infinispan/infinispan/issues/14924,161,Not Checked,
14903,https://github.com/infinispan/infinispan/pull/14903,14865,https://github.com/infinispan/infinispan/issues/14865,23,Not Checked,
14755,https://github.com/infinispan/infinispan/pull/14755,14748,https://github.com/infinispan/infinispan/issues/14748,64,Not Checked,
14912,https://github.com/infinispan/infinispan/pull/14912,14818,https://github.com/infinispan/infinispan/issues/14818,329,Not Checked,
14809,https://github.com/infinispan/infinispan/pull/14809,14806,https://github.com/infinispan/infinispan/issues/14806,641,Not Checked,
14880,https://github.com/infinispan/infinispan/pull/14880,14865,https://github.com/infinispan/infinispan/issues/14865,22,Not Checked,
14867,https://github.com/infinispan/infinispan/pull/14867,14804,https://github.com/infinispan/infinispan/issues/14804,314,Not Checked,
14868,https://github.com/infinispan/infinispan/pull/14868,14804,https://github.com/infinispan/infinispan/issues/14804,315,Not Checked,
14817,https://github.com/infinispan/infinispan/pull/14817,14804,https://github.com/infinispan/infinispan/issues/14804,315,Not Checked,
14857,https://github.com/infinispan/infinispan/pull/14857,14802,https://github.com/infinispan/infinispan/issues/14802,152,Not Checked,
14856,https://github.com/infinispan/infinispan/pull/14856,14802,https://github.com/infinispan/infinispan/issues/14802,152,Not Checked,
14852,https://github.com/infinispan/infinispan/pull/14852,14820,https://github.com/infinispan/infinispan/issues/14820,40,Not Checked,
14825,https://github.com/infinispan/infinispan/pull/14825,14802,https://github.com/infinispan/infinispan/issues/14802,153,Not Checked,
14851,https://github.com/infinispan/infinispan/pull/14851,14820,https://github.com/infinispan/infinispan/issues/14820,31,Not Checked,
14823,https://github.com/infinispan/infinispan/pull/14823,14820,https://github.com/infinispan/infinispan/issues/14820,40,Not Checked,
14833,https://github.com/infinispan/infinispan/pull/14833,14832,https://github.com/infinispan/infinispan/issues/14832,35,Not Checked,
14742,https://github.com/infinispan/infinispan/pull/14742,14737,https://github.com/infinispan/infinispan/issues/14737,581,Not Checked,
14772,https://github.com/infinispan/infinispan/pull/14772,14769,https://github.com/infinispan/infinispan/issues/14769,113,Not Checked,
14705,https://github.com/infinispan/infinispan/pull/14705,14704,https://github.com/infinispan/infinispan/issues/14704,25,Not Checked,
14637,https://github.com/infinispan/infinispan/pull/14637,14627,https://github.com/infinispan/infinispan/issues/14627,138,Not Checked,
14582,https://github.com/infinispan/infinispan/pull/14582,14511,https://github.com/infinispan/infinispan/issues/14511,31,Not Checked,
14592,https://github.com/infinispan/infinispan/pull/14592,14589,https://github.com/infinispan/infinispan/issues/14589,143,Not Checked,
14533,https://github.com/infinispan/infinispan/pull/14533,14532,https://github.com/infinispan/infinispan/issues/14532,186,Not Checked,
14491,https://github.com/infinispan/infinispan/pull/14491,14490,https://github.com/infinispan/infinispan/issues/14490,133,Not Checked,
14361,https://github.com/infinispan/infinispan/pull/14361,14360,https://github.com/infinispan/infinispan/issues/14360,386,Not Checked,
13647,https://github.com/infinispan/infinispan/pull/13647,13609,https://github.com/infinispan/infinispan/issues/13609,116,Not Checked,
13869,https://github.com/infinispan/infinispan/pull/13869,13864,https://github.com/infinispan/infinispan/issues/13864,117,Not Checked,
13190,https://github.com/infinispan/infinispan/pull/13190,13189,https://github.com/infinispan/infinispan/issues/13189,196,Not Checked,
14202,https://github.com/infinispan/infinispan/pull/14202,13430,https://github.com/infinispan/infinispan/issues/13430,395,Not Checked,
14243,https://github.com/infinispan/infinispan/pull/14243,14109,https://github.com/infinispan/infinispan/issues/14109,44,Not Checked,
14087,https://github.com/infinispan/infinispan/pull/14087,14086,https://github.com/infinispan/infinispan/issues/14086,60,Not Checked,
13646,https://github.com/infinispan/infinispan/pull/13646,13609,https://github.com/infinispan/infinispan/issues/13609,115,Not Checked,
13610,https://github.com/infinispan/infinispan/pull/13610,13609,https://github.com/infinispan/infinispan/issues/13609,116,Not Checked,
13225,https://github.com/infinispan/infinispan/pull/13225,13223,https://github.com/infinispan/infinispan/issues/13223,107,Not Checked,
13298,https://github.com/infinispan/infinispan/pull/13298,13191,https://github.com/infinispan/infinispan/issues/13191,49,Not Checked,
13211,https://github.com/infinispan/infinispan/pull/13211,13210,https://github.com/infinispan/infinispan/issues/13210,28,Not Checked,
13277,https://github.com/infinispan/infinispan/pull/13277,13276,https://github.com/infinispan/infinispan/issues/13276,57,Not Checked,
13206,https://github.com/infinispan/infinispan/pull/13206,13191,https://github.com/infinispan/infinispan/issues/13191,51,Not Checked,
